Epoch,Train_Seg_Loss,Validation_Seg_Loss,Validation_Overall_Acc,Validation_Mean_IOU,Validation_Class_0,Validation_Class_1,Validation_Class_2,Validation_Class_3,Test_Seg_Loss,Test_Overall_Acc,Test_Mean_IOU,Test_Class_0,Test_Class_1,Test_Class_2,Test_Class_3,Learning_Rate
0,0.8905722444707697,0.8493994048663548,0.5076792689732142,0.13074440309079008,0.6759471723011562,0.017012116233153,0.0,0.0,0.8524491588274637,0.48365313494646994,0.12623374873624524,0.6505461997456021,0.028952609333727095,0.0,0.0,0.0001
1,0.8887173127044331,0.8600399664470127,0.41897155761718746,0.1106002431518239,0.5915913241250175,0.034378772867577415,0.0,0.0,0.8637602064344618,0.39084897641782407,0.10456662557276267,0.5550604230827756,0.04415064036018319,0.0,0.0,0.0001
2,0.8882363384420221,0.8596845780100141,0.42872512090773807,0.11332769453816158,0.6004095332963126,0.03760017640888691,0.0,0.0,0.8637020124329461,0.391150060583044,0.10522441874504457,0.5564796891477373,0.04894521915250354,0.0,0.0,0.0001
3,0.8856046335263685,0.8603129812649318,0.42572102864583333,0.11276630079516717,0.5972849471228463,0.03838293786559786,0.0,0.0,0.8645188146167331,0.3867614972149884,0.10400115861188505,0.5522115959061517,0.047392531401581235,0.0,0.0,0.0001
4,0.8821901408108798,0.853651932307652,0.4879550897507441,0.12787061273529426,0.6514919315065656,0.034494088031351566,0.0,0.0,0.858808610174391,0.43102138943142365,0.11518116671060048,0.5972132086753845,0.046934993316729866,0.0,0.0,0.0001
5,0.8794259889559313,0.8538793069975716,0.5094174630301339,0.1332439207678046,0.6731223038264683,0.0344251561909914,0.0,0.0,0.858821279472775,0.46063225640190975,0.12220933306675416,0.6233040425512526,0.04366329684853554,0.0,0.0,0.0001
6,0.8779844993894751,0.8504021508353097,0.5399085053943453,0.1408367918131714,0.69600738797869,0.03397710341960192,0.0,0.0,0.8565632303555807,0.4801836027922454,0.127223282632854,0.6397062142690023,0.043751741035117045,0.0,0.0,0.0001
7,0.8759739263491197,0.8467681578227452,0.5755903552827382,0.14935723251950955,0.7257770895957947,0.030846431319202696,0.0,0.0,0.8530357215139601,0.5162458179615163,0.13578958258163587,0.6713854736751981,0.039977772885726556,0.0,0.0,0.0001
8,0.8737069693478671,0.8453144260815212,0.596029808407738,0.1541226977809931,0.7402976495879037,0.028255290484854152,0.0,0.0,0.8520956436793009,0.5342426215277778,0.14028357854333467,0.6854807734489441,0.040039877510733075,0.0,0.0,0.0001
9,0.8694222244349393,0.8413131577627999,0.631595226469494,0.1627184814343874,0.7682004145213536,0.025874149719519273,0.0,0.0,0.847912245326572,0.5727263952184606,0.14927239883691593,0.7168423732121786,0.035269007035013705,0.0,0.0,0.0001
10,0.8687174780802294,0.8412102035113743,0.6391914585658481,0.16476641904592865,0.7731625097138541,0.025837429000863006,0.0,0.0,0.8482427928182814,0.5801874231409143,0.15110899665361088,0.7213528752326965,0.03520865769435962,0.0,0.0,0.0001
11,0.8659257428212599,0.8388788785253253,0.6493769473121278,0.16773368540787412,0.7800053102629525,0.029511750476168736,0.0,0.0,0.8465639220343696,0.5887727412471064,0.15321149442265927,0.7268947495354546,0.03524496437360843,0.0,0.0,0.0001
12,0.8633357286453247,0.8288967524256025,0.7190686616443452,0.18389340640329385,0.8302716868264335,0.020991399119208966,0.0,0.0,0.8366195294592116,0.6628929533781828,0.17104705355494706,0.784929182794359,0.030675203642911382,0.0,0.0,0.0001
13,0.8599363944747231,0.8282943964004517,0.7213306535993304,0.1845797978309023,0.829660279410226,0.021272936120762358,0.0,0.0,0.8359825544887118,0.6677264630353009,0.17227967552187426,0.7860097686449686,0.03130516342611776,0.0,0.0,0.0001
14,0.8562736186114225,0.8297818217958722,0.725302501860119,0.18546520185537588,0.8350687112127032,0.02064631144250078,0.0,0.0,0.8364363114039103,0.6720229763454861,0.17287713647510836,0.7919756968816122,0.02818241311858098,0.0,0.0,0.0001
15,0.8547859489917755,0.8353574020521981,0.671920660109747,0.17373640304032678,0.7938151444707598,0.030758883537990705,0.0,0.0,0.844861818684472,0.609149848090278,0.1581634482320956,0.7382557392120361,0.0345173172859682,0.0,0.0,0.0001
16,0.8522607602856376,0.8304333942277091,0.694821050734747,0.17905285121213202,0.8092057960374015,0.02739468276766794,0.0,0.0,0.8400182194179959,0.6325046115451389,0.16387053949856337,0.7553829285833571,0.03384106792509556,0.0,0.0,0.0001
17,0.8483791811899706,0.8308078050613403,0.68349853515625,0.17635580407055937,0.7983238526753017,0.028742561050291573,0.0,0.0,0.8412736455599467,0.6223021330656828,0.16133199203834436,0.7457346320152283,0.034365484284030065,0.0,0.0,0.0001
18,0.8473982621322979,0.8271515710013253,0.7097104317801339,0.1827949070960647,0.8200821876525879,0.027533713595143387,0.0,0.0,0.8371366063753763,0.6484049253110532,0.16751482447416344,0.7675290571318732,0.031842634133580655,0.0,0.0,0.0001
